"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"45",1.62924053973028,3.8,1.9,0.4,"setosa"
"46",1.56861591791385,3,1.4,0.3,"setosa"
"47",1.62924053973028,3.8,1.6,0.2,"setosa"
"48",1.52605630349505,3.2,1.4,0.2,"setosa"
"49",1.66770682055808,3.7,1.5,0.2,"setosa"
"50",1.6094379124341,3.3,1.4,0.2,"setosa"
"51",1.94591014905531,3.2,4.7,1.4,"versicolor"
"52",1.85629799036563,3.2,4.5,1.5,"versicolor"
"53",1.93152141160321,3.1,4.9,1.5,"versicolor"
"54",1.70474809223843,2.3,4,1.3,"versicolor"
"55",1.87180217690159,2.8,4.6,1.5,"versicolor"
"56",1.7404661748405,2.8,4.5,1.3,"versicolor"
"57",1.84054963339749,3.3,4.7,1.6,"versicolor"
"58",1.58923520511658,2.4,3.3,1,"versicolor"
"59",1.88706964903238,2.9,4.6,1.3,"versicolor"
"60",1.64865862558738,2.7,3.9,1.4,"versicolor"
"61",1.6094379124341,2,3.5,1,"versicolor"
"62",1.77495235091167,3,4.2,1.5,"versicolor"
"63",1.79175946922805,2.2,4,1,"versicolor"
"64",1.80828877117927,2.9,4.7,1.4,"versicolor"
"65",1.7227665977411,2.9,3.6,1.3,"versicolor"
"66",1.90210752639692,3.1,4.4,1.4,"versicolor"
"67",1.7227665977411,3,4.5,1.5,"versicolor"
"68",1.75785791755237,2.7,4.1,1,"versicolor"
"69",1.82454929205105,2.2,4.5,1.5,"versicolor"
"70",1.7227665977411,2.5,3.9,1.1,"versicolor"
"71",1.77495235091167,3.2,4.8,1.8,"versicolor"
"72",1.80828877117927,2.8,4,1.3,"versicolor"
"73",1.84054963339749,2.5,4.9,1.5,"versicolor"
"74",1.80828877117927,2.8,4.7,1.2,"versicolor"
"75",1.85629799036563,2.9,4.3,1.3,"versicolor"
"76",1.88706964903238,3,4.4,1.4,"versicolor"
"77",1.91692261218206,2.8,4.8,1.4,"versicolor"
"78",1.90210752639692,3,5,1.7,"versicolor"
"79",1.79175946922805,2.9,4.5,1.5,"versicolor"
"80",1.7404661748405,2.6,3.5,1,"versicolor"
"81",1.70474809223843,2.4,3.8,1.1,"versicolor"
"82",1.70474809223843,2.4,3.7,1,"versicolor"
"83",1.75785791755237,2.7,3.9,1.2,"versicolor"
"84",1.79175946922805,2.7,5.1,1.6,"versicolor"
"85",1.68639895357023,3,4.5,1.5,"versicolor"
"86",1.79175946922805,3.4,4.5,1.6,"versicolor"
"87",1.90210752639692,3.1,4.7,1.5,"versicolor"
"88",1.84054963339749,2.3,4.4,1.3,"versicolor"
"89",1.7227665977411,3,4.1,1.3,"versicolor"
"90",1.70474809223843,2.5,4,1.3,"versicolor"
"91",1.70474809223843,2.6,4.4,1.2,"versicolor"
"92",1.80828877117927,3,4.6,1.4,"versicolor"
"93",1.75785791755237,2.6,4,1.2,"versicolor"
"94",1.6094379124341,2.3,3.3,1,"versicolor"
"95",1.7227665977411,2.7,4.2,1.3,"versicolor"
"96",1.7404661748405,3,4.2,1.2,"versicolor"
"97",1.7404661748405,2.9,4.2,1.3,"versicolor"
"98",1.82454929205105,2.9,4.3,1.3,"versicolor"
"99",1.62924053973028,2.5,3,1.1,"versicolor"
"100",1.7404661748405,2.8,4.1,1.3,"versicolor"
"101",1.84054963339749,3.3,6,2.5,"virginica"
"102",1.75785791755237,2.7,5.1,1.9,"virginica"
"103",1.96009478404727,3,5.9,2.1,"virginica"
"104",1.84054963339749,2.9,5.6,1.8,"virginica"
"105",1.87180217690159,3,5.8,2.2,"virginica"
"106",2.02814824729229,3,6.6,2.1,"virginica"
"107",1.58923520511658,2.5,4.5,1.7,"virginica"
"108",1.98787434815435,2.9,6.3,1.8,"virginica"
"109",1.90210752639692,2.5,5.8,1.8,"virginica"
"110",1.97408102602201,3.6,6.1,2.5,"virginica"
"111",1.87180217690159,3.2,5.1,2,"virginica"
"112",1.85629799036563,2.7,5.3,1.9,"virginica"
"113",1.91692261218206,3,5.5,2.1,"virginica"
"114",1.7404661748405,2.5,5,2,"virginica"
"115",1.75785791755237,2.8,5.1,2.4,"virginica"
"116",1.85629799036563,3.2,5.3,2.3,"virginica"
"117",1.87180217690159,3,5.5,1.8,"virginica"
"118",2.04122032885964,3.8,6.7,2.2,"virginica"
"119",2.04122032885964,2.6,6.9,2.3,"virginica"
"120",1.79175946922805,2.2,5,1.5,"virginica"
"121",1.93152141160321,3.2,5.7,2.3,"virginica"
"122",1.7227665977411,2.8,4.9,2,"virginica"
"123",2.04122032885964,2.8,6.7,2,"virginica"
"124",1.84054963339749,2.7,4.9,1.8,"virginica"
"125",1.90210752639692,3.3,5.7,2.1,"virginica"
"126",1.97408102602201,3.2,6,1.8,"virginica"
"127",1.82454929205105,2.8,4.8,1.8,"virginica"
"128",1.80828877117927,3,4.9,1.8,"virginica"
"129",1.85629799036563,2.8,5.6,2.1,"virginica"
"130",1.97408102602201,3,5.8,1.6,"virginica"
"131",2.00148000021012,2.8,6.1,1.9,"virginica"
"132",2.06686275947298,3.8,6.4,2,"virginica"
"133",1.85629799036563,2.8,5.6,2.2,"virginica"
"134",1.84054963339749,2.8,5.1,1.5,"virginica"
"135",1.80828877117927,2.6,5.6,1.4,"virginica"
"136",2.04122032885964,3,6.1,2.3,"virginica"
"137",1.84054963339749,3.4,5.6,2.4,"virginica"
"138",1.85629799036563,3.1,5.5,1.8,"virginica"
"139",1.79175946922805,3,4.8,1.8,"virginica"
"140",1.93152141160321,3.1,5.4,2.1,"virginica"
"141",1.90210752639692,3.1,5.6,2.4,"virginica"
"142",1.93152141160321,3.1,5.1,2.3,"virginica"
"143",1.75785791755237,2.7,5.1,1.9,"virginica"
"144",1.91692261218206,3.2,5.9,2.3,"virginica"
"145",1.90210752639692,3.3,5.7,2.5,"virginica"
"146",1.90210752639692,3,5.2,2.3,"virginica"
"147",1.84054963339749,2.5,5,1.9,"virginica"
"148",1.87180217690159,3,5.2,2,"virginica"
"149",1.82454929205105,3.4,5.4,2.3,"virginica"
"150",1.77495235091167,3,5.1,1.8,"virginica"
